language,sent_id,N,L,d_real,d_min,d_rand,omega
Finnish,w02005027,10,9,2.6444,1.8,2.9904,0.2906
Finnish,w02005028,13,12,3.4359,1.8462,3.5096,0.0443
Finnish,w02005029,8,7,2.3571,1.75,2.5746,0.2638
Finnish,w02006036,9,8,2.1111,1.7778,2.775,0.6657
Finnish,w02006081,11,10,2.8727,1.8182,3.1122,0.185
Finnish,w02007008,11,10,2.6909,1.8182,3.1238,0.3316
Finnish,w02007032,17,16,3.75,1.8824,4.1209,0.1657
Finnish,w02007061,12,11,2.5909,1.8333,3.3227,0.4914
Finnish,w02007074,9,8,2.5556,1.7778,2.7781,0.2224
Finnish,w02008010,12,11,2.8485,1.8333,3.3501,0.3307
Finnish,w02008028,14,13,2.8132,1.8571,3.6469,0.4658
Finnish,w02008038,14,13,2.9341,1.8571,3.6059,0.3842
Finnish,w02008055,5,4,1.6,1.6,1.888,1.0
Finnish,w02008065,8,7,2.0357,1.75,2.5593,0.647
Finnish,w02009002,11,10,2.8727,1.8182,3.1293,0.1957
Finnish,w02009025,24,23,3.9022,1.9167,4.9939,0.3548
Finnish,w02009087,16,15,2.7167,1.875,3.9903,0.6021
Finnish,w02011012,10,9,2.1556,1.8,2.9241,0.6837
Finnish,w02011029,6,5,1.9333,1.6667,2.12,0.4118
Finnish,w02012042,10,9,2.5778,1.8,2.9556,0.3269
Finnish,w02013015,10,9,2.6444,1.8,2.9413,0.2601
Finnish,w02013033,12,11,3.3485,1.8333,3.322,-0.0178
Finnish,w02013076,18,17,3.0523,1.8889,4.2092,0.4986
Finnish,w02013093,18,17,3.3922,1.8889,4.2287,0.3575
Finnish,w02014013,14,13,3.7033,1.8571,3.6582,-0.025
Finnish,w02014030,19,18,3.4971,1.8947,4.3319,0.3425
Finnish,w02015084,9,8,2.3889,1.7778,2.7592,0.3773
Finnish,w02015085,8,7,2.25,1.75,2.5507,0.3756
Finnish,w02015086,9,8,2.5556,1.7778,2.7633,0.2108
Finnish,w02015087,7,6,2.381,1.7143,2.3729,-0.0123
Finnish,w02015088,5,4,1.8,1.6,1.889,0.308
Finnish,w02016015,23,22,3.6364,1.913,4.8773,0.4186
Finnish,w02016060,11,10,2.8364,1.8182,3.166,0.2446
Finnish,w02017046,14,13,2.8022,1.8571,3.6345,0.4683
Finnish,w02017061,14,13,2.7143,1.8571,3.6513,0.5223
Finnish,w02018030,8,7,2.5357,1.75,2.548,0.0154
Finnish,w02019048,16,15,2.875,1.875,3.9287,0.5131
Finnish,w02019077,4,3,1.5,1.5,1.63,1.0
Finnish,w02019085,18,17,3.5948,1.8889,4.2659,0.2824
Finnish,w03001037,23,22,3.8893,1.913,4.9277,0.3444
Finnish,w03001058,8,7,2.2143,1.75,2.5786,0.4397
Finnish,w03002048,9,8,2.1111,1.7778,2.7708,0.6643
Finnish,w03002055,15,14,3.5238,1.8667,3.8195,0.1514
Finnish,w03003023,27,26,4.1254,1.9259,5.4751,0.3803
Finnish,w03003039,26,25,3.9108,1.9231,5.2184,0.3968
Finnish,w03004037,15,14,3.0667,1.8667,3.78,0.3728
Finnish,w03004107,13,12,2.4615,1.8462,3.5021,0.6284
Finnish,w03005012,14,13,3.4505,1.8571,3.6367,0.1046
Finnish,w03005013,20,19,3.1211,1.9,4.5633,0.5415
Finnish,w03005014,7,6,2.4762,1.7143,2.3671,-0.167
Finnish,w03005015,29,28,3.7734,1.931,5.5806,0.4952
Finnish,w03005016,19,18,3.076,1.8947,4.3912,0.5268
Finnish,w03006024,10,9,1.9556,1.8,2.9547,0.8653
Finnish,w03007008,17,16,3.2206,1.8824,4.094,0.3949
Finnish,w03007039,15,14,2.9333,1.8667,3.8213,0.4543
Finnish,w03008011,10,9,2.4444,1.8,2.9562,0.4426
Finnish,w03008029,18,17,3.1438,1.8889,4.2075,0.4588
Finnish,w03009029,20,19,3.5105,1.9,4.5023,0.3811
Finnish,w03009044,15,14,2.6476,1.8667,3.7792,0.5917
Finnish,w03010096,13,12,2.7692,1.8462,3.4963,0.4406
Finnish,w03010097,15,14,3.6,1.8667,3.8469,0.1247
Finnish,w03010098,16,15,3.1333,1.875,3.9306,0.3878
Finnish,w03010099,16,15,3.3333,1.875,3.9419,0.2944
Finnish,w03010100,18,17,3.2549,1.8889,4.2182,0.4136
Finnish,w04001027,19,18,3.5322,1.8947,4.3735,0.3394
Finnish,w04001037,7,6,1.7143,1.7143,2.3471,1.0
Finnish,w04001053,13,12,3.359,1.8462,3.4709,0.0689
Finnish,w04002008,18,17,3.2157,1.8889,4.2308,0.4334
Finnish,w04002048,13,12,3.0256,1.8462,3.4642,0.2711
Finnish,w04002055,26,25,3.9569,1.9231,5.2935,0.3966
Finnish,w04003025,15,14,2.7619,1.8667,3.8133,0.5401
Finnish,w04003054,15,14,2.4952,1.8667,3.8148,0.6773
Finnish,w04004005,15,14,2.6095,1.8667,3.8354,0.6227
Finnish,w04004045,14,13,2.9341,1.8571,3.6745,0.4074
Finnish,w04004051,20,19,3.4895,1.9,4.5826,0.4075
Finnish,w04004059,12,11,2.9242,1.8333,3.3136,0.2631
Finnish,w04006023,15,14,2.8571,1.8667,3.8187,0.4926
Finnish,w04006065,21,20,3.3619,1.9048,4.6339,0.4661
Finnish,w04007006,21,20,3.8952,1.9048,4.643,0.2731
Finnish,w04007021,17,16,3.0441,1.8824,4.0993,0.476
Finnish,w04007037,23,22,4.1739,1.913,4.8523,0.2308
Finnish,w04007049,37,36,4.2883,1.9459,6.4951,0.4851
Finnish,w04008006,17,16,2.8824,1.8824,4.0779,0.5445
Finnish,w04009042,30,29,3.931,1.9333,5.7293,0.4737
Finnish,w04010027,19,18,3.7895,1.8947,4.4091,0.2464
Finnish,w04010028,13,12,2.9487,1.8462,3.5251,0.3433
Finnish,w04010029,24,23,3.6051,1.9167,5.0232,0.4565
Finnish,w04010030,13,12,2.641,1.8462,3.5095,0.5221
Finnish,w04010031,24,23,3.7645,1.9167,5.0097,0.4026
Finnish,w05001026,19,18,3.8012,1.8947,4.3825,0.2337
Finnish,w05001036,13,12,2.6923,1.8462,3.4583,0.4751
Finnish,w05001045,14,13,2.7802,1.8571,3.5799,0.4642
Finnish,w05002014,15,14,2.6476,1.8667,3.7748,0.5907
Finnish,w05002032,15,14,2.8952,1.8667,3.7782,0.4619
Finnish,w05003012,23,22,4.2846,1.913,4.8552,0.1939
Finnish,w05003050,24,23,3.5797,1.9167,5.021,0.4643
Finnish,w05003119,15,14,3.5619,1.8667,3.853,0.1466
Finnish,w05004031,23,22,4.0158,1.913,4.9288,0.3027
Finnish,w05005083,21,20,4.0762,1.9048,4.6202,0.2004
Finnish,w05005084,13,12,2.4872,1.8462,3.4641,0.6038
Finnish,w05005085,21,20,3.3524,1.9048,4.6341,0.4696
Finnish,w05005086,12,11,2.5909,1.8333,3.3114,0.4875
Finnish,w05005087,14,13,2.8462,1.8571,3.6851,0.459
Finnish,w05006024,18,17,3.3137,1.8889,4.2013,0.3838
Finnish,w05006058,17,16,3.2794,1.8824,4.0349,0.351
Finnish,w05007004,31,30,4.0473,1.9355,5.7632,0.4483
Finnish,w05007080,19,18,3.883,1.8947,4.3798,0.1999
Finnish,w05008107,16,15,3.025,1.875,3.9511,0.4461
Finnish,w05009044,32,31,4.4758,1.9375,6.0372,0.3809
Finnish,w05010023,24,23,3.5145,1.9167,5.02,0.4851
Finnish,w05010024,14,13,2.7582,1.8571,3.6531,0.4983
Finnish,w05010025,15,14,3.0857,1.8667,3.7889,0.3658
Finnish,w05010026,37,36,4.8438,1.9459,6.4902,0.3623
Finnish,w05010027,17,16,2.9706,1.8824,4.0954,0.5083
French,n01001011,49,48,4.2364,1.9592,7.6095,0.597
French,n01001013,21,20,3.7429,1.9048,4.6437,0.3289
French,n01002017,49,48,5.148,1.9592,7.6298,0.4377
French,n01002032,45,44,5.1919,1.9556,7.3972,0.4053
French,n01002042,14,13,2.7033,1.8571,3.6397,0.5253
French,n01002058,16,15,3.2083,1.875,3.937,0.3534
French,n01003007,9,8,2.2778,1.7778,2.7744,0.4983
French,n01003010,47,46,5.0065,1.9574,7.3198,0.4314
French,n01003012,24,23,3.3406,1.9167,5.0517,0.5458
French,n01003013,9,8,2.2222,1.7778,2.7789,0.556
French,n01004009,26,25,3.5262,1.9231,5.2282,0.515
French,n01004017,17,16,3.1176,1.8824,4.0861,0.4395
French,n01005023,25,24,3.68,1.92,5.1253,0.4509
French,n01005024,34,33,4.4421,1.9412,6.1244,0.4022
French,n01005031,21,20,3.4667,1.9048,4.585,0.4173
French,n01006011,17,16,2.8971,1.8824,4.0822,0.5387
French,n01007012,16,15,3.4,1.875,3.9616,0.2691
French,n01008017,50,49,4.2694,1.96,7.7266,0.5995
French,n01009027,17,16,2.3971,1.8824,4.1007,0.768
French,n01009054,31,30,4.0645,1.9355,5.8042,0.4497
French,n01010042,20,19,3.1789,1.9,4.4373,0.4959
French,n01011004,16,15,3.2333,1.875,3.9693,0.3514
French,n01011011,40,39,4.6064,1.95,6.6462,0.4343
French,n01011017,18,17,3.1176,1.8889,4.2594,0.4817
French,n01012003,20,19,3.2842,1.9,4.5112,0.4699
French,n01013005,18,17,2.8889,1.8889,4.2697,0.58
French,n01014003,30,29,4.7356,1.9333,5.795,0.2743
French,n01014012,37,36,5.2372,1.9459,6.4823,0.2745
French,n01015033,16,15,2.9417,1.875,3.9516,0.4863
French,n01015036,41,40,4.2683,1.9512,6.8895,0.5308
French,n01016014,28,27,3.6085,1.9286,5.4924,0.5286
French,n01016019,18,17,3.2026,1.8889,4.2108,0.4342
French,n01016032,22,21,3.8095,1.9091,4.7168,0.3231
French,n01017005,35,34,3.9328,1.9429,6.2562,0.5387
French,n01017008,20,19,3.6947,1.9,4.5497,0.3227
French,n01017010,26,25,3.9538,1.9231,5.2617,0.3917
French,n01017013,24,23,4.2464,1.9167,5.0429,0.2548
French,n01018024,8,7,2.0714,1.75,2.5791,0.6123
French,n01018040,15,14,3.1048,1.8667,3.8061,0.3616
French,n01019004,18,17,2.8758,1.8889,4.296,0.59
French,n01019005,19,18,3.2632,1.8947,4.3389,0.4401
French,n01020004,11,10,2.2182,1.8182,3.1433,0.6981
French,n01020017,23,22,3.2569,1.913,4.937,0.5556
French,n01020021,40,39,4.8577,1.95,6.7572,0.3951
French,n01021007,34,33,4.7219,1.9412,6.0856,0.329
French,n01021011,34,33,4.713,1.9412,6.2117,0.3509
French,n01021012,18,17,3.0654,1.8889,4.2543,0.5026
French,n01022002,44,43,6.4249,1.9545,7.17,0.1429
French,n01022005,26,25,4.2123,1.9231,5.2797,0.318
French,n01022010,42,41,4.8606,1.9524,6.8854,0.4105
French,n01022016,18,17,2.8627,1.8889,4.2314,0.5843
French,n01022027,29,28,3.9458,1.931,5.5999,0.4508
French,n01023020,20,19,3.2474,1.9,4.5454,0.4907
French,n01023034,35,34,4.8202,1.9429,6.2681,0.3348
French,n01023043,15,14,2.6667,1.8667,3.8309,0.5927
French,n01024010,44,43,5.685,1.9545,7.156,0.2828
French,n01024013,41,40,5.1439,1.9512,6.8319,0.3459
French,n01024016,20,19,3.6,1.9,4.4936,0.3445
French,n01025025,29,28,4.5813,1.931,5.6554,0.2884
French,n01025040,22,21,3.013,1.9091,4.7473,0.6111
French,n01025045,21,20,3.0952,1.9048,4.681,0.5712
French,n01026004,19,18,3.9298,1.8947,4.3987,0.1872
French,n01026016,15,14,3.219,1.8667,3.839,0.3143
French,n01027007,4,3,1.5,1.5,1.62,1.0
French,n01027030,26,25,3.9015,1.9231,5.3394,0.4209
French,n01027041,19,18,3.3099,1.8947,4.3793,0.4304
French,n01027049,14,13,3.1209,1.8571,3.5985,0.2743
French,n01028022,25,24,2.8533,1.92,5.2275,0.7178
French,n01029006,31,30,3.428,1.9355,5.8716,0.6208
French,n01029007,13,12,2.7436,1.8462,3.4858,0.4527
French,n01029011,37,36,4.5405,1.9459,6.4384,0.4225
French,n01029014,27,26,3.8405,1.9259,5.431,0.4538
French,n01030005,35,34,3.5765,1.9429,6.3257,0.6273
French,n01030006,32,31,3.9315,1.9375,5.9701,0.5055
French,n01030008,34,33,3.8378,1.9412,6.123,0.5465
French,n01031005,15,14,3.1238,1.8667,3.8047,0.3513
French,n01031021,22,21,3.1126,1.9091,4.7106,0.5704
French,n01032032,24,23,3.3986,1.9167,5.002,0.5197
French,n01033005,20,19,3.9474,1.9,4.4897,0.2094
French,n01033012,25,24,3.64,1.92,5.1359,0.4652
French,n01033021,25,24,3.4467,1.92,5.1555,0.5282
French,n01033028,16,15,2.9667,1.875,3.9356,0.4702
French,n01033031,25,24,3.8933,1.92,5.1572,0.3904
French,n01034033,37,36,4.2492,1.9459,6.4313,0.4865
French,n01034060,17,16,2.8235,1.8824,4.0688,0.5695
French,n01035004,42,41,5.0987,1.9524,6.9379,0.3689
French,n01035013,30,29,3.9839,1.9333,5.7434,0.4618
French,n01035025,31,30,4.2108,1.9355,5.9174,0.4286
French,n01035030,34,33,4.0321,1.9412,6.2262,0.512
French,n01036002,35,34,5.1798,1.9429,6.2045,0.2404
French,n01036020,34,33,3.8075,1.9412,6.1676,0.5584
French,n01036033,17,16,3.4706,1.8824,4.0229,0.258
French,n01037020,40,39,4.691,1.95,6.775,0.4319
French,n01038021,43,42,5.4839,1.9535,7.2017,0.3273
French,n01038025,25,24,4.22,1.92,5.1966,0.2981
French,n01039013,38,37,4.7994,1.9474,6.5023,0.3738
French,n01039018,12,11,2.3485,1.8333,3.3195,0.6534
French,n01039039,20,19,3.4842,1.9,4.5781,0.4085
French,n01040028,33,32,4.1629,1.9394,6.0783,0.4628
French,n01041006,21,20,3.2,1.9048,4.6729,0.5321
French,n01041018,23,22,3.3043,1.913,4.8541,0.5269
French,n01042004,47,46,4.8196,1.9574,7.3431,0.4686
French,n01042008,27,26,4.2678,1.9259,5.3946,0.3248
French,n01043005,45,44,4.996,1.9556,7.4276,0.4444
French,n01043014,17,16,3.4559,1.8824,4.1604,0.3093
French,n01043025,40,39,3.9269,1.95,6.6889,0.5828
French,n01043027,31,30,4.0129,1.9355,5.9129,0.4777
French,n01044004,44,43,5.6311,1.9545,7.1281,0.2894
French,n01044009,32,31,3.5504,1.9375,5.8989,0.5928
French,n01045010,44,43,4.7452,1.9545,7.175,0.4654
French,n01045035,37,36,5.1652,1.9459,6.5108,0.2948
French,n01046003,13,12,2.641,1.8462,3.4865,0.5154
French,n01046036,22,21,3.671,1.9091,4.8198,0.3947
French,n01046057,23,22,3.7233,1.913,4.8603,0.3858
French,n01047048,11,10,2.5455,1.8182,3.1142,0.4388
French,n01048008,41,40,5.7634,1.9512,6.9553,0.2382
French,n01049022,44,43,4.1839,1.9545,7.1672,0.5723
French,n01049033,27,26,3.3675,1.9259,5.426,0.5881
French,n01050006,36,35,5.0571,1.9444,6.2669,0.2799
French,n01050009,10,9,2.5778,1.8,2.9471,0.322
French,n01050014,29,28,4.2611,1.931,5.7099,0.3834
French,n01050019,16,15,3.4083,1.875,3.9269,0.2527
French,n01051004,41,40,4.9659,1.9512,6.8155,0.3803
French,n01051006,21,20,3.4476,1.9048,4.6528,0.4386
French,n01051007,19,18,3.345,1.8947,4.3996,0.421
French,n01052004,5,4,1.8,1.6,1.892,0.3151
French,n01052006,29,28,3.665,1.931,5.585,0.5254
French,n01053008,25,24,3.1867,1.92,5.1499,0.6078
French,n01053036,25,24,3.56,1.92,5.1871,0.498
French,n01053041,14,13,2.7692,1.8571,3.6214,0.483
French,n01054011,20,19,3.3,1.9,4.4759,0.4565
French,n01054017,21,20,3.8095,1.9048,4.6502,0.3062
French,n01055008,24,23,4.3877,1.9167,5.0458,0.2103
French,n01055038,28,27,3.3069,1.9286,5.4378,0.6072
French,n01055047,17,16,2.5441,1.8824,4.0877,0.6999
French,n01057014,27,26,3.5499,1.9259,5.3435,0.5248
French,n01057036,11,10,2.6545,1.8182,3.1396,0.3671
French,n01058037,33,32,3.3977,1.9394,6.0473,0.645
French,n01058052,43,42,4.5559,1.9535,7.034,0.4878
French,n01058064,29,28,4.2069,1.931,5.6733,0.3918
French,n01059008,19,18,3.3684,1.8947,4.4035,0.4126
French,n01059019,23,22,3.9605,1.913,4.9442,0.3245
French,n01059025,39,38,4.2888,1.9487,6.6777,0.5052
French,n01059054,29,28,3.7044,1.931,5.6145,0.5186
French,n01060069,35,34,4.2185,1.9429,6.2784,0.4751
French,n01061016,23,22,3.7233,1.913,4.9115,0.3963
French,n01061023,31,30,3.6688,1.9355,5.8655,0.5589
French,n01061041,25,24,4.1267,1.92,5.1975,0.3267
French,n01062035,13,12,3.0256,1.8462,3.476,0.2763
French,n01062049,8,7,2.1071,1.75,2.5682,0.5635
French,n01063011,20,19,3.3474,1.9,4.5179,0.4471
French,n01063043,30,29,4.0414,1.9333,5.6652,0.4351
French,n01063048,29,28,4.0542,1.931,5.6001,0.4213
French,n01063051,21,20,3.4857,1.9048,4.6546,0.4251
French,n01064009,18,17,3.098,1.8889,4.2388,0.4854
French,n01064096,27,26,3.4929,1.9259,5.4184,0.5513
French,n01064113,34,33,4.4813,1.9412,6.2278,0.4074
French,n01065073,21,20,3.4381,1.9048,4.683,0.4481
French,n01066045,34,33,5.1569,1.9412,6.1702,0.2396
French,n01066068,13,12,2.7179,1.8462,3.4737,0.4644
French,n01066093,17,16,2.9412,1.8824,4.0914,0.5207
French,n01067014,18,17,3.4444,1.8889,4.238,0.3378
French,n01067023,37,36,4.4655,1.9459,6.5194,0.4491
French,n01068029,23,22,3.2727,1.913,4.8812,0.5419
French,n01068038,13,12,3.1282,1.8462,3.4869,0.2186
French,n01069004,23,22,3.5336,1.913,4.8671,0.4514
French,n01069006,22,21,3.7879,1.9091,4.761,0.3412
French,n01069014,21,20,3.4286,1.9048,4.677,0.4503
French,n01069023,18,17,3.0458,1.8889,4.245,0.509
French,n01070016,11,10,3.1636,1.8182,3.1429,-0.0156
French,n01070017,14,13,2.8901,1.8571,3.6669,0.4292
French,n01070020,7,6,1.9048,1.7143,2.3619,0.7059
French,n01071009,32,31,3.5161,1.9375,6.0617,0.6172
French,n01072010,17,16,2.8382,1.8824,4.0536,0.5598
French,n01072012,10,9,2.3333,1.8,2.9692,0.5439
French,n01072021,30,29,3.9011,1.9333,5.7671,0.4867
French,n01073004,8,7,2.5357,1.75,2.5612,0.0315
French,n01073023,18,17,3.2092,1.8889,4.2149,0.4324
French,n01074011,13,12,2.9744,1.8462,3.4665,0.3037
French,n01074015,24,23,3.9529,1.9167,5.0026,0.3402
French,n01074020,16,15,2.7833,1.875,3.9415,0.5604
French,n01074026,16,15,2.8917,1.875,3.9254,0.5042
French,n01074030,19,18,3.4386,1.8947,4.348,0.3707
French,n01075028,18,17,3.0327,1.8889,4.2677,0.5192
French,n01075044,20,19,3.5789,1.9,4.503,0.355
French,n01076006,24,23,3.9783,1.9167,5.0349,0.3389
French,n01076017,24,23,3.8659,1.9167,4.9843,0.3646
French,n01076030,9,8,2.3889,1.7778,2.7722,0.3855
French,n01077018,11,10,2.4727,1.8182,3.1371,0.5037
French,n01077030,19,18,3.1462,1.8947,4.3208,0.4842
French,n01078025,16,15,3.1667,1.875,3.9799,0.3863
French,n01079015,32,31,5.2984,1.9375,5.9612,0.1647
French,n01079065,26,25,4.0,1.9231,5.2966,0.3843
French,n01079069,28,27,3.7063,1.9286,5.5015,0.5024
French,n01080039,9,8,2.6667,1.7778,2.7708,0.1049
French,n01080042,19,18,3.2047,1.8947,4.366,0.4699
French,n01081022,25,24,4.2533,1.92,5.2238,0.2937
French,n01082014,38,37,4.303,1.9474,6.6139,0.4952
French,n01083013,25,24,3.8133,1.92,5.1527,0.4143
French,n01083035,13,12,2.9231,1.8462,3.5255,0.3587
French,n01084008,28,27,4.3095,1.9286,5.4928,0.332
French,n01084023,37,36,4.5255,1.9459,6.4227,0.4238
French,n01084036,18,17,2.9673,1.8889,4.2029,0.534
French,n01084045,39,38,4.7935,1.9487,6.6285,0.3921
French,n01085006,29,28,3.9951,1.931,5.6316,0.4422
French,n01085008,15,14,2.8571,1.8667,3.8232,0.4938
French,n01085011,20,19,3.9105,1.9,4.5005,0.2269
French,n01086013,28,27,4.2063,1.9286,5.4569,0.3544
French,n01086016,22,21,3.4675,1.9091,4.8647,0.4727
French,n01086031,6,5,2.0667,1.6667,2.1353,0.1465
French,n01087005,19,18,3.2164,1.8947,4.4336,0.4794
French,n01087018,15,14,2.6857,1.8667,3.7999,0.5763
French,n01087023,31,30,4.0301,1.9355,5.8903,0.4704
French,n01087035,11,10,2.3273,1.8182,3.1331,0.6128
French,n01087039,26,25,3.7108,1.9231,5.2928,0.4695
French,n01088026,22,21,3.8788,1.9091,4.7375,0.3036
French,n01089007,19,18,3.3684,1.8947,4.4623,0.426
French,n01089033,23,22,3.4466,1.913,4.8855,0.4841
French,n01090004,31,30,4.0989,1.9355,5.8548,0.448
French,n01090037,32,31,3.7903,1.9375,5.8867,0.5308
French,n01091013,35,34,4.1176,1.9429,6.2453,0.4945
French,n01091017,40,39,5.2244,1.95,6.9115,0.34
French,n01091019,43,42,4.6667,1.9535,7.0643,0.4691
French,n01092008,7,6,2.0,1.7143,2.3686,0.5633
French,n01092014,10,9,2.4,1.8,2.9622,0.4837
French,n01092025,42,41,5.0383,1.9524,7.0014,0.3888
French,n01092040,32,31,4.9355,1.9375,6.0142,0.2646
French,n01093007,28,27,3.4233,1.9286,5.555,0.5878
French,n01093024,31,30,3.5398,1.9355,5.8487,0.59
French,n01093025,13,12,2.7179,1.8462,3.5003,0.4729
French,n01094014,6,5,1.8667,1.6667,2.1243,0.563
French,n01094022,29,28,3.3842,1.931,5.5787,0.6016
French,n01095004,33,32,3.8106,1.9394,6.0638,0.5463
French,n01095009,15,14,2.419,1.8667,3.7795,0.7112
French,n01095019,12,11,2.4394,1.8333,3.2814,0.5815
French,n01096006,27,26,5.5613,1.9259,5.4343,-0.0362
French,n01096032,32,31,5.3508,1.9375,5.9683,0.1532
French,n01096040,31,30,3.9656,1.9355,5.8266,0.4783
French,n01097020,31,30,4.2151,1.9355,5.7833,0.4076
French,n01097041,5,4,1.6,1.6,1.884,1.0
French,n01097098,14,13,2.8132,1.8571,3.6316,0.4612
French,n01098034,15,14,3.0286,1.8667,3.8497,0.4141
French,n01098041,11,10,2.5818,1.8182,3.1471,0.4254
French,n01098044,40,39,4.5038,1.95,6.7322,0.466
French,n01099035,55,54,4.6613,1.9636,8.0465,0.5565
French,n01101003,15,14,2.8381,1.8667,3.8421,0.5082
French,n01101007,22,21,3.9004,1.9091,4.8244,0.3169
French,n01101012,27,26,3.8689,1.9259,5.4463,0.4481
French,n01101015,23,22,3.5415,1.913,4.9898,0.4707
French,n01101017,14,13,2.7473,1.8571,3.6484,0.5031
French,n01102006,31,30,3.5312,1.9355,5.8946,0.597
French,n01103013,10,9,2.3111,1.8,2.965,0.5613
French,n01104011,25,24,3.9933,1.92,5.1499,0.3581
French,n01104019,18,17,2.8954,1.8889,4.2082,0.566
French,n01105003,20,19,2.8211,1.9,4.5569,0.6533
French,n01105013,22,21,3.1515,1.9091,4.7939,0.5693
French,n01105023,13,12,2.5641,1.8462,3.5667,0.5827
French,n01106008,27,26,3.9886,1.9259,5.383,0.4033
French,n01106015,13,12,2.6667,1.8462,3.4922,0.5015
French,n01107005,45,44,5.8101,1.9556,7.1549,0.2586
French,n01107006,43,42,5.0299,1.9535,7.0438,0.3956
French,n01107008,30,29,3.9333,1.9333,5.7002,0.4691
French,n01107010,22,21,3.5931,1.9091,4.7687,0.4111
French,n01108003,46,45,4.4551,1.9565,7.2377,0.5269
French,n01108005,35,34,4.5546,1.9429,6.3424,0.4064
French,n01108015,20,19,3.5474,1.9,4.5412,0.3763
French,n01109008,23,22,3.3597,1.913,4.9225,0.5193
French,n01109012,29,28,3.9163,1.931,5.5447,0.4506
French,n01109022,11,10,2.7273,1.8182,3.1269,0.3054
French,n01110006,28,27,4.6931,1.9286,5.5395,0.2344
French,n01110008,18,17,3.2941,1.8889,4.2153,0.396
French,n01110022,31,30,4.4516,1.9355,5.8793,0.362
French,n01111018,16,15,3.075,1.875,3.9506,0.4218
French,n01111021,43,42,4.3965,1.9535,7.0537,0.521
French,n01111030,30,29,3.7678,1.9333,5.7631,0.521
French,n01112002,17,16,3.3676,1.8824,4.125,0.3377
French,n01112012,9,8,2.7778,1.7778,2.7997,0.0215
French,n01112014,56,55,4.4026,1.9643,8.2055,0.6093
French,n01113021,21,20,3.2,1.9048,4.6805,0.5334
French,n01114012,25,24,3.8933,1.92,5.2112,0.4004
French,n01114025,29,28,3.6059,1.931,5.6044,0.544
French,n01115005,6,5,2.1333,1.6667,2.1407,0.0155
French,n01115013,18,17,3.0588,1.8889,4.2527,0.5051
French,n01116009,34,33,4.3547,1.9412,6.1514,0.4267
French,n01116014,7,6,2.1905,1.7143,2.3686,0.2722
French,n01116018,19,18,3.6023,1.8947,4.3574,0.3066
French,n01116021,18,17,3.0654,1.8889,4.2721,0.5063
French,n01116035,20,19,2.9737,1.9,4.4877,0.5851
French,n01117007,25,24,3.8067,1.92,5.1751,0.4204
French,n01117014,12,11,2.4394,1.8333,3.3365,0.5968
French,n01118003,5,4,2.0,1.6,1.894,-0.3605
French,n01118010,16,15,2.8083,1.875,3.9354,0.547
French,n01118017,14,13,2.7143,1.8571,3.6398,0.5192
French,n01119011,24,23,3.2065,1.9167,5.0492,0.5882
French,n01119012,23,22,3.4941,1.913,4.917,0.4737
French,n01119017,11,10,2.5455,1.8182,3.1382,0.449
French,n01119019,15,14,2.5333,1.8667,3.8292,0.6603
French,n01120008,26,25,4.5815,1.9231,5.269,0.2055
French,n01120010,20,19,3.9053,1.9,4.4238,0.2055
French,n01120020,10,9,2.4,1.8,2.95,0.4783
French,n01121032,24,23,4.2935,1.9167,5.0545,0.2425
French,n01121051,12,11,2.5303,1.8333,3.2761,0.5169
French,n01122024,28,27,3.1667,1.9286,5.596,0.6624
French,n01123010,18,17,2.8889,1.8889,4.2884,0.5832
French,n01123012,14,13,3.0,1.8571,3.629,0.355
French,n01123024,11,10,2.2909,1.8182,3.1456,0.6439
French,n01125009,31,30,3.9398,1.9355,5.8872,0.4928
French,n01125016,29,28,4.1182,1.931,5.6436,0.4109
French,n01125030,19,18,3.0643,1.8947,4.3481,0.5233
French,n01127008,42,41,4.4053,1.9524,7.0184,0.5158
French,n01127089,10,9,2.1556,1.8,2.9556,0.6923
French,n01127130,21,20,3.2762,1.9048,4.6578,0.5018
French,n01128017,26,25,3.7015,1.9231,5.3333,0.4785
French,n01128021,26,25,3.5415,1.9231,5.2523,0.5139
French,n01128025,17,16,3.2941,1.8824,4.0707,0.3549
French,n01128033,19,18,3.5439,1.8947,4.3632,0.3319
French,n01129006,17,16,2.8529,1.8824,4.1018,0.5627
French,n01129010,16,15,2.8583,1.875,3.9607,0.5285
French,n01129017,31,30,3.5613,1.9355,5.8461,0.5843
French,n01129021,20,19,3.3684,1.9,4.5581,0.4476
French,n01130003,13,12,2.6667,1.8462,3.4964,0.5028
French,n01130025,27,26,3.6866,1.9259,5.5136,0.5092
French,n01131007,19,18,3.3684,1.8947,4.3339,0.3958
French,n01131013,30,29,3.908,1.9333,5.7201,0.4785
French,n01132006,13,12,2.2308,1.8462,3.4999,0.7674
French,n01132013,26,25,3.4523,1.9231,5.309,0.5484
French,n01133014,13,12,3.0769,1.8462,3.48,0.2467
French,n01133022,24,23,3.6703,1.9167,5.0762,0.445
French,n01134005,21,20,3.5143,1.9048,4.5976,0.4023
French,n01134007,25,24,3.66,1.92,5.1902,0.4679
French,n01134015,19,18,4.152,1.8947,4.3692,0.0878
French,n01134020,25,24,3.5733,1.92,5.1674,0.4909
French,n01135002,28,27,3.828,1.9286,5.4926,0.467
French,n01136005,35,34,3.6538,1.9429,6.2815,0.6057
